SKU,Name,Description
"CA2849B2-R","Neléhavá a stylová taška na notebook a iPad® Pro 12,9"" s možností personalizace","Neléhavá a stylová taška na notebook a iPad® Pro 12,9"" s možností personalizace"
"CA2849B3-CU","Námořní aktovka na notebook a iPad® z luxusní kůže","Námořní aktovka na notebook a iPad® z luxusní kůže"
"CA2849B3-N","Námořní aktovka na notebook a iPad® z luxusní kůže","Námořní aktovka na notebook a iPad® z luxusní kůže"
"CA2849B3-TM","Námořní aktovka na notebook a iPad® z luxusní kůže","Námořní aktovka na notebook a iPad® z luxusní kůže"
"CA2849MO-N","Tenká přenosná taška na notebook a iPad® Air/Air 2","Stylová a praktická taška, která je navržena tak, aby spolehlivě ochránila váš notebook i iPad® Air/Air 2 při každodenním používání. Díky kompaktnímu a přitom prostornému designu nabízí dostatek místa nejen pro samotné zařízení, ale také pro nabíječku, kabely a další drobné příslušenství.
"
"CA2849MOS-N","Nesmírně stylová a praktická taška na notebook nebo iPad® Pro 12,9"" vyrobená z kvalitní kůže","Nesmírně stylová a praktická taška na notebook nebo iPad® Pro 12,9"" vyrobená z kvalitní kůže. Ideální pro každodenní používání, pracovní cesty nebo cestování. Chrání vaše zařízení před poškrábáním a prachem, zatímco elegantní design dodá vaší výbavě profesionální dotek. Vhodná pro všechny, kteří chtějí kombinovat funkčnost s módním vzhledem."
"CA3084AP-N","Pánská brašna přes rameno - N","Mužská kožená přepsová taška"
"CA3084AP-TM","Mužská taška přes rameno - TM","Mužská kožená přepsová taška"
"CA3084B2-BLU2","Borsello uomo - BLU2","Mužská peněženka z kvalitní kůže"
"CA3084B2-MO","Borsello uomo - MO","Mužská peněženka z kvalitní kůže"
"CA3084B2-N","Borsello uomo - N","Mužská peněženka z kvalitní kůže"
"CA3084B3-AR","Borsello uomo - AR","Pamatový mužský peněženkový příměs v elegantním koženém provedení."
"CA3084B3-BLU4","Pánská peněženka - BLU4","Paměťový mužský peněženkový příměs v elegantním koženém provedení."
"CA3084B3-CU","Pánská peněženka - CU","Paměťová mužská peněženková příměs v elegantním koženém provedení."
"CA3084B3-N","Borsello uomo - N","Pamatový mužský peněženkový příměs v elegantním koženém provedení."
"CA3084B3-R2","Borsello uomo - R2","Pamatový mužský peněženkový příměs v elegantním koženém provedení."
"CA3084B3-TM","Borsello uomo - TM","Pamatový mužský peněženkový příměs v elegantním koženém provedení."
"CA3084BR2-N","a ekologický pouzdro na iPad® mini z recyklovaného materiálu – ideální ochrana pro váš tablet","Praktický a ekologický pouzdro na iPad® mini z recyklovaného materiálu – ideální ochrana pro váš tablet"
"CA3084BR2-VE2","a ekologický pouzdro na iPad® mini z recyklovaného materiálu – ideální ochrana pro váš tablet","Praktický a ekologický pouzdro na iPad® mini z recyklovaného materiálu – ideální ochrana pro váš tablet"
"CA3084BR2S-GRN","Borsello uomo porta iPad®mini in tessuto riciclato - GRN","""Praktický a ekologický peněženka na iPad® mini z recyklovaného materiálu"
"CA3084BR2S-MCU","Borsello uomo porta iPad®mini in tessuto riciclato - MCU","""Praktický a ekologický peněženka na iPad® mini z recyklovaného materiálu"
"CA3084MOS-BLU","Borsello uomo - BLU","Mužský kožený batoh na rameno"
"CA3084MOS-N","Borsello uomo - N","Mužský kožený batoh na rameno"
"CA3084P16-CHEVN","Organizovaný peněženkový přípravek s odděleným sádrou pro iPad® mini - CHEVN","Organizovaný peněženkový přípravek s odděleným sádrou pro iPad® mini"
"CA3084S134-M","Borsello uomo a tracolla - M","Mužský přenášecí taška pro iPad® Mini z kvalitní kůže"
"CA3084S134-N","Borsello uomo a tracolla - N","Mužský přenášecí taška pro iPad® Mini z kvalitní kůže"
"CA3084S135-BLU","Borsello uomo a tracolla porta iPad®mini - BLU","Mužská kabelka na iPad® mini z kvalitní kůže"
"CA3084S135-N","Borsello uomo a tracolla porta iPad®mini - N","Mužská kabelka na iPad® mini z kvalitní kůže"
"CA3084S136-N","Borsello uomo porta iPad®mini in tessuto riciclato - N","Mužský přes rameno nositelný peněženkový tašek na iPad® mini z kvalitní tkaniny."
"CA3084S136-VE","Borsello uomo porta iPad®mini in tessuto riciclato - VE","Mužský přes rameno nositelný peněženkový tašek na iPad® mini z kvalitní tkaniny."
"CA3084UB00-BLGR","Pánská peněženka - BLGR","Kvalitní mužská peněženka z přírodní kůže"
"CA3084UB00-BLU","Pánská peněženka","Kvalitní mužská peněženka z přírodní kůže"
"CA3084UB00-GRN","Mužská peněženka - GRN","Kvalitní mužská peněženka z přírodní kůže"
"CA3084UB00-N","Pánská peněženka - N","Kvalitní mužská peněženka z přírodní kůže"
"CA3084UB00-NGR","Mužská peněženka - NGR","Kvalitní mužská peněženka z přírodní kůže"
"CA3084W129-N","Mužská peněženka na iPad® mini s ochranou - N","Mužská peněženka na iPad® mini s ochranou"
"CA3084W129-TM","Mužská peněženka na iPad® mini s ochranou - TM","Mužská peněženka na iPad® mini s ochranou"
"CA3084W129-VE2","Mužská peněženka na iPad® mini s ochranou - VE2","Mužská peněženka na iPad® mini s ochranou"
"CA3111B2-MO","Pěkný, prostorný a praktický kufřík na notebook z kůže","Pěkný, prostorný a praktický kufřík na notebook z kůže. Ideální pro každodenní použití nebo služební cesty. Dbejte o svůj notebook se stylem a elegancí."
"CA3111B2-N","Pěkný, prostorný a praktický kufřík na notebook z kůže","Pěkný, prostorný a praktický kufřík na notebook z kůže. Ideální pro každodenní použití nebo služební cesty. Dbejte o svůj notebook se stylem a elegancí."
"CA3111MO-N","Cartella porta computer espandibile con patta - N","Expanzní přenosná taška na notebook s zámekem"
"CA3111MOS-N","Rozšiřitelná brašna na notebook 15,6"" s klopou","Praktická a stylová brašna na notebook s klopou a možností rozšíření pro větší objem. Určena pro notebooky do velikosti 15,6"", nabízí bezpečné přihrádky pro elektroniku a dokumenty. Elegantní design kombinuje funkčnost s pohodlím při každodenním nošení do práce nebo na cestách."
"CA3111P16-CHEVN","Expanzní taška na notebook s kliknutím na uzávěr","Expanzní taška na notebook s kliknutím na uzávěr"
"CA3214B2-BLU2","Malý kožený batoh s oddělenou sekcí pro notebook a iPad®","Malý kožený batoh s oddělenou sekcí pro notebook a iPad®"
"CA3214B2-MO","Malý kožený batoh s oddělenou sekcí pro notebook a iPad®","Malý kožený batoh s oddělenou sekcí pro notebook a iPad®"
"CA3214B2-N","Malý kožený batoh s oddělenou sekcí pro notebook a iPad®","Malý kožený batoh s oddělenou sekcí pro notebook a iPad®"
"CA3214B2-R","Malý kožený batoh s oddělenou sekcí pro notebook a iPad®","Malý kožený batoh s oddělenou sekcí pro notebook a iPad®"
"CA3214B3-AR","Malý kožený batoh na notebook a iPad®","Malý kožený batoh na notebook a iPad®"
"CA3214B3-BLU4","Malý kožený batoh na notebook a iPad®","Malý kožený batoh na notebook a iPad®"
"CA3214B3-CU","Malý kožený batoh na notebook a iPad®","Malý kožený batoh na notebook a iPad®"
"CA3214B3-N","Malý kožený batoh na notebook a iPad®","Malý kožený batoh na notebook a iPad®"
"CA3214B3-R2","Malý kožený batoh na notebook a iPad®","Malý kožený batoh na notebook a iPad®"
"CA3214B3-TM","Malý kožený batoh na notebook a iPad®","Malý kožený batoh na notebook a iPad®"
"CA3214MO-N","Batožina na notebook s přihrádkou - N","Záložní taška na notebook s odděleným prostorem"
"CA3214MOS-GR","Malý kožený zpětný batoh na notebook a iPad® s - GR","Malý kožený zpětný batoh na notebook a iPad® s"
"CA3214MOS-N","Malý kožený zpětný batoh na notebook a iPad® s - N","Malý kožený zpětný batoh na notebook a iPad® s"
"CA3214MOS-VE3","Malý kožený zpětný batoh na notebook a iPad® s - VE3","Malý kožený zpětný batoh na notebook a iPad® s"
"CA3214UB00-GRN","Malý batoh na notebook 14""","Malý kožený batoh na notebook a iPad® s ochrannou funkcí."
"CA3214UB00-N","Malý batoh na notebook 14""","Malý kožený batůžek na notebook a iPad® s ochrannou funkcí."
"CA3214UB00-NGR","Malý batoh na notebook 14""","Malý kožený batoh na notebook a iPad® s ochrannou funkcí."
"CA3214UB00BML-GRN","Praktická brašna pro muže - dokonale kombinuje praktičnost a styl","Záložní taška pro muže - dokonale kombinuje praktičnost a styl. Vyznačuje se odolnou kůží a elegantním designem, ideální pro každodenní použití. Perfektně se hodí pro přenos vašeho notebooku a iPadu®. S rychlým kontrolním systémem pro letištní check-in, takže cestování je ještě snazší. Získejte tašku, která splňuje všechny vaše potřeby!"
"CA3335B2-BLU2","Praktická a elegantní kůže taška na notebook a iPad® Pro 12,9""","Praktická a elegantní kůže taška na notebook a iPad® Pro 12,9"""
"CA3335B2-MO","Praktická a elegantní kůže taška na notebook a iPad® Pro 12,9""","Praktická a elegantní kůže taška na notebook a iPad® Pro 12,9"""
"CA3335B2-N","Praktická a elegantní kůže taška na notebook a iPad® Pro 12,9""","Praktická a elegantní kůže taška na notebook a iPad® Pro 12,9"""
"CA3338MO-N","Business kufr na kolečkách pro notebook/iPad® Air/Air2","Praktický obchodní kufřík na notebooky a tablety iPad® Air/Air 2"
"CA3338MOS-N","Trolej s odnímatelnou přepravkou a praktickou organizací","Trolej s odnímatelnou přepravkou a praktickou organizací"
"CA3339B3-CU","Taška na notebook a iPad® Pro 12,9"" z kvalitní kůže","Taška na notebook a iPad® Pro 12,9"" z kvalitní kůže"
"CA3339B3-N","Taška na notebook a iPad® Pro 12,9"" z kvalitní kůže","Taška na notebook a iPad® Pro 12,9"" z kvalitní kůže"
"CA3339B3-VEVE","Taška na notebook a iPad® Pro 12,9"" z kvalitní kůže","Taška na notebook a iPad® Pro 12,9"" z kvalitní kůže"
"CA3339BR2-BLU","**Praktická kufříková taška na práci s oddílem pro notebook a iPad®**","**Praktická kufříková taška na práci s oddílem pro notebook a iPad®**"
"CA3339BR2-N","**Praktická kufříková taška na práci s oddílem pro notebook a iPad®**","**Praktická kufříková taška na práci s oddílem pro notebook a iPad®**"
"CA3339MO-N","Aktovka na notebook se dvěma držadly","Praktická aktovka na notebook s dvěma pevnými rukojetmi – ideální pro každodenní použití. Vyrobená z kvalitních materiálů, zajišťuje spolehlivou ochranu vašemu notebooku a dalšímu vybavení. Ergonomický design a prostorný vnitřek s organizátorem usnadní uspořádání a přenos vašich věcí. Dokonalá kombinace stylu a funkčnosti pro moderní život."
"CA3339MOS-N","Taška na notebook i iPad® Pro 12,9"" z luxusní kůže+","Taška na notebook i iPad® Pro 12,9"" z luxusní kůže"
"CA3339UB00-GRN","Výjimečná a osobitá nášivková kabelka na notebook a iPad® – dokonale kombinující praktičnost a styl","Výjimečná a osobitá nášivková kabelka na notebook a iPad® – dokonale kombinující praktičnost a styl. Tato kabelka s kvalitním materiálem a odolným designem je ideálním společníkem do práce, do školy nebo na cestování. Důkladně chrání vaše zařízení před poškozením a poskytuje pěkný vzhled s možností personalizace. Perfektní pro každodenní použití i na služební cesty. Vyberte si svůj oblíbený motiv nebo nápis a vytvořte kabelku, která přesně vyjadřuje váš styl!"
"CA3339UB00-N","Výjimečná a osobitá nášivková kabelka na notebook a iPad® – dokonale kombinující praktičnost a styl","Výjimečná a osobitá nášivková kabelka na notebook a iPad® – dokonale kombinující praktičnost a styl. Tato kabelka s kvalitním materiálem a odolným designem je ideálním společníkem do práce, do školy nebo na cestování. Důkladně chrání vaše zařízení před poškozením a poskytuje pěkný vzhled s možností personalizace. Perfektní pro každodenní použití i na služební cesty. Vyberte si svůj oblíbený motiv nebo nápis a vytvořte kabelku, která přesně vyjadřuje váš styl!"
"CA3347P16-CHEVN","Praktická taška na notebook a iPad® s dvěma popruhy pro snadné přenášení","Praktická taška na notebook a iPad® s dvěma popruhy pro snadné přenášení."
"CA3444MO-N","Zaino porta PC/iPad®Air/Air2 con tasche - N","Záložní kapesní taška pro notebooky, tablety iPad® Air a Air 2 s praktickými vnitřními kapesami"
"CA3444MOS-N","Pletený mužský batoh na notebook a iPad® z kvalitní kůže, kombinující styl a praktičnost","Pletený mužský batoh na notebook a iPad® z kvalitní kůže, kombinující styl a praktičnost. Ideální pro každodenní použití i cestování. S prostorným vnitřkem a odděleným oddílem pro notebook, zajišťuje bezpečný transport vašich zařízení. Moderní design v kombinaci s trvanlivostí skvěle doplní jak profesionální, tak volnočasový look."
"CA3869P16-CHEVBLU","Zainetto porta computer e porta iPad® - CHEVBLU","Univerzální taška na notebook a iPad® – stylový a praktický doplněk vaší výbavy"
"CA3869P16-CHEVN","Zainetto porta computer e porta iPad® - CHEVN","Univerzální taška na notebook a iPad® – stylový a praktický doplněk vaší výbavy"
"CA4021B2-BLU2","Tenká kožená taška na notebook a iPad®","Tenká kožená taška na notebook a iPad®"
"CA4021B2-MO","Tenká kožená taška na notebook a iPad®","Tenká kožená taška na notebook a iPad®"
"CA4021B2-N","Tenká kožená taška na notebook a iPad®","Tenká kožená taška na notebook a iPad®"
"CA4021B2-R","Tenká kožená taška na notebook a iPad®","Tenká kožená taška na notebook a iPad®"
"CA4021B3-AR","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže"
"CA4021B3-BLU4","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže","Tenký kožený kufřík na notebook a iPad® z prémiové kůže"
"CA4021B3-CU","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže"
"CA4021B3-N","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže"
"CA4021B3-TM","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže","Tenká kabelková kufřík na počítač a iPad® z kvalitní kůže"
"CA4021MOS-N","Tenká kůžená taška na notebook a iPad® - N","Tenká kůžená taška na notebook a iPad®"
"CA4021S135-BE","Batažník na notebook a iPad® Pro","Batažník na notebook a iPad® Pro"
"CA4021S135-N","Batažník na notebook a iPad® Pro","Batažník na notebook a iPad® Pro"
"CA4021W92-N","Náš elegantní a praktický taškový kufřík pro dámy je ideálním spolubydlícím pro každodenní práci","Náš elegantní a praktický taškový kufřík pro dámy je ideálním spolubydlícím pro každodenní práci. S prostorným prostoru na notebook a iPad®, zaručuje pohodlné a bezpečné přenášení vašich technických pomůcek. Vyroben z kvalitních materiálů, kombinuje styl a funkčnost, aby vám usnadnil každý den. Dokonalá volba pro profesionální i soukromé použití."
"CA4021W92T-R","Praktická pracovní taška pro dámy s odděleným oddílem pro notebook a iPad® s","Praktická pracovní taška pro dámy s odděleným oddílem pro notebook a iPad® s"
"CA4027B3-CU","kůže, stylový design – ideální pořadač pro notebook a iPad®","Kvalitní kůže, stylový design – ideální pořadač pro notebook a iPad®"
"CA4027B3-N","kůže, stylový design – ideální pořadač pro notebook a iPad®","Kvalitní kůže, stylový design – ideální pořadač pro notebook a iPad®"
"CA4174P16-CHEVBLU","Zavazadlo na notebook a iPad® – praktický a stylový společník pro každý den","Zavazadlo na notebook a iPad® – praktický a stylový společník pro každý den"
"CA4174P16-CHEVN","Zavazadlo na notebook a iPad® – praktický a stylový společník pro každý den","Zavazadlo na notebook a iPad® – praktický a stylový společník pro každý den"
"CA4177P16-CHEVN","Jednoramenná taška na iPad® mini - CHEVN","Jednoramenná taška na iPad® mini"
"CA4532BR2-BLU","Univerzální mužský batoh","Univerzální mužský batoh určený pro rychlé kontrolování s odděleným oddílem pro notebook a iPad®. Ideální pro každodenní použití nebo cestování, nabízí praktický design s dostatečným prostorem pro všední potřeby a elektroniku. Všestranný batoh s moderním vzhledem, který kombinuje funkcionalitu a styl."
"CA4532BR2-N","Univerzální mužský batoh","Univerzální mužský batoh určený pro rychlé kontrolování s odděleným oddílem pro notebook a iPad®. Ideální pro každodenní použití nebo cestování, nabízí praktický design s dostatečným prostorem pro všední potřeby a elektroniku. Všestranný batoh s moderním vzhledem, který kombinuje funkcionalitu a styl."
"CA4532UB00-N","Záložní taška pro muže s rychlou kontrolou - ideální pro notebook a iPad®","Záložní taška pro muže s rychlou kontrolou - ideální pro notebook a iPad®"
"CA4532UB00-NGR","Záložní taška pro muže s rychlou kontrolou - ideální pro notebook a iPad®","Záložní taška pro muže s rychlou kontrolou - ideální pro notebook a iPad®"
"CA4536BR2-N","Zakladní taška pro muže s nosičem pro iPad® mini z kvalitního tkaného materiálu","Zakladní taška pro muže s nosičem pro iPad® mini z kvalitního tkaného materiálu."
"CA4536UB00L-NGR","Monospalla con con luce a LED - NGR","Jednoruční taška s LED osvětlením"
"CA4550UB00BM-GRN","Praktická brašna pro muže - dokonale kombinuje praktičnost a styl","Záložní taška pro muže - dokonale kombinuje praktičnost a styl. Vyznačuje se odolnou kůží a elegantním designem, ideální pro každodenní použití. Perfektně se hodí pro přenos vašeho notebooku a iPadu®. S rychlým kontrolním systémem pro letištní check-in, takže cestování je ještě snazší. Získejte tašku, která splňuje všechny vaše potřeby!"
"CA4550UB00BM-N","Praktická brašna pro muže - dokonale kombinuje praktičnost a styl","Záložní taška pro muže - dokonale kombinuje praktičnost a styl. Vyznačuje se odolnou kůží a elegantním designem, ideální pro každodenní použití. Perfektně se hodí pro přenos vašeho notebooku a iPadu®. S rychlým kontrolním systémem pro letištní check-in, takže cestování je ještě snazší. Získejte tašku, která splňuje všechny vaše potřeby!"
"CA4550UB00BM-NGR","Praktická brašna pro muže - dokonale kombinuje praktičnost a styl","Záložní taška pro muže - dokonale kombinuje praktičnost a styl. Vyznačuje se odolnou kůží a elegantním designem, ideální pro každodenní použití. Perfektně se hodí pro přenos vašeho notebooku a iPadu®. S rychlým kontrolním systémem pro letištní check-in, takže cestování je ještě snazší. Získejte tašku, která splňuje všechny vaše potřeby!"
"CA4576W92-N","Záložní taška ženská s odděleným oddílem pro notebook a iPad®. - N","Záložní taška ženská s odděleným oddílem pro notebook a iPad®."
"CA4576W92T-R","a moderní ženský batoh s odděleným oddílem na notebook a iPad® – ideální pro práci i volný čas","Praktický a moderní ženský batoh s odděleným oddílem na notebook a iPad® – ideální pro práci i volný čas. Vybavený pohodlnými popruhy a dostatečným prostorem pro všechny potřeby. Perfektní pro profesionály i studenty, kteří oceňují styl i funkcionalitu."
"CA4577W92-N","Dámská kabelka na notebook a iPad®","Dámská kabelka na notebook a iPad®"
"CA4598B3-N","Tenká kožená taška na notebook a iPad®","Tenká kožená taška na notebook a iPad®"
"CA4762B2-BLU2","Výrobní taška pro muže s odděleným oddílem na notebook a iPad®","Výrobní taška pro muže s odděleným oddílem na notebook a iPad®."
"CA4762B2-MO","Výrobní taška pro muže s odděleným oddílem na notebook a iPad®","Výrobní taška pro muže s odděleným oddílem na notebook a iPad®."
"CA4762B2-N","Výrobní taška pro muže s odděleným oddílem na notebook a iPad®","Výrobní taška pro muže s odděleným oddílem na notebook a iPad®."
"CA4762B3-AR","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití"
"CA4762B3-BLU4","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití"
"CA4762B3-CU","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití"
"CA4762B3-N","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití"
"CA4762B3-TM","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití","Závěsný sáček pro notebook a iPad® – praktický a stylový doplněk pro každodenní použití"
"CA4818B2V-BLU","Praktický a stylový batoh na notebook a iPad®","Praktický a stylový batoh na notebook a iPad® s antikradlickým kabelem – perfektní kombinace bezpečnosti a designu pro každodenní použití."
"CA4818B2V-MO","Praktický a stylový batoh na notebook a iPad®","Praktický a stylový batoh na notebook a iPad® s antikradlickým kabelem – perfektní kombinace bezpečnosti a designu pro každodenní použití."
"CA4818B2V-N","Praktický a stylový batoh na notebook a iPad®","Praktický a stylový batoh na notebook a iPad® s antikradlickým kabelem – perfektní kombinace bezpečnosti a designu pro každodenní použití."
"CA4818BR2-BLU","Základní mužský batoh s odolným krytem na notebook a iPad®, vyrobený z kvalitního tkaného materiá...","Základní mužský batoh s odolným krytem na notebook a iPad®, vyrobený z kvalitního tkaného materiálu, kombinující praktičnost a styl. Ideální společník pro práci nebo volný čas."
"CA4818BR2-N","Základní mužský batoh s odolným krytem na notebook a iPad®, vyrobený z kvalitního tkaného materiá...","Základní mužský batoh s odolným krytem na notebook a iPad®, vyrobený z kvalitního tkaného materiálu, kombinující praktičnost a styl. Ideální společník pro práci nebo volný čas."
"CA4818MOS-N","Pánský tenký batoh na notebook a iPad® s kabelem","Elegantní a praktický tenký batoh pro muže, ideální pro každodenní nošení notebooku a iPadu®. Disponuje bezpečným přihrádkami pro elektroniku a praktickým integrovaným kabelem pro nabíjení zařízení na cestách. Moderní design a kompaktní rozměry zajišťují pohodlí i styl."
"CA4818UB00-BLGR","Mužská taška na notebook a iPad® z kvalitní kůže","Mužská taška na notebook a iPad® z kvalitní kůže"
"CA4818UB00-BLU","Mužská taška na notebook a iPad® z kvalitní kůže","Mužská taška na notebook a iPad® z kvalitní kůže"
"CA4818UB00-GRN","Mužská taška na notebook a iPad® z kvalitní kůže","Mužská taška na notebook a iPad® z kvalitní kůže"
"CA4818UB00-N","Mužská taška na notebook a iPad® z kvalitní kůže","Mužská taška na notebook a iPad® z kvalitní kůže"
"CA4818UB00-NGR","Mužská taška na notebook a iPad® z kvalitní kůže","Mužská taška na notebook a iPad® z kvalitní kůže"
"CA4827B2-MO","Zaino monospalla uomo porta iPad® - MO","Praktický jednoroztěžný mužský batoh z kvalitní kůže s odpruženým nosným pásem, dokonalý pro denní dojíždění i cestování. Zároveň slouží jako stylový doplněk, který perfektně doplní váš outfit. Vnitřek zajišťuje bezpečné uložení iPad® s dalšími potřebami. Skvělá volba pro ty, kteří hledají kombinaci funkčnosti a moderní elegance."
"CA4827B2-N","Zaino monospalla uomo porta iPad® - N","Praktický jednoroztěžný mužský batoh z kvalitní kůže s odpruženým nosným pásem, dokonalý pro denní dojíždění i cestování. Zároveň slouží jako stylový doplněk, který perfektně doplní váš outfit. Vnitřek zajišťuje bezpečné uložení iPad® s dalšími potřebami. Skvělá volba pro ty, kteří hledají kombinaci funkčnosti a moderní elegance."
"CA4827B3-AR","Zaino monospalla uomo porta iPad® - AR","Zakladni pásový pás v koži pro iPad® – stylový a praktický doplněk pro moderního muže."
"CA4827B3-BLU4","Zaino monospalla uomo porta iPad® - BLU4","Zakladni pásový pás v koži pro iPad® – stylový a praktický doplněk pro moderního muže."
"CA4827B3-CU","Zaino monospalla uomo porta iPad® - CU","Zakladni pásový pás v koži pro iPad® – stylový a praktický doplněk pro moderního muže."
"CA4827B3-N","Zaino monospalla uomo porta iPad® - N","Zakladni pásový pás v koži pro iPad® – stylový a praktický doplněk pro moderního muže."
"CA4827B3-VE3","Zaino monospalla uomo porta iPad® - VE3","Zakladni pásový pás v koži pro iPad® – stylový a praktický doplněk pro moderního muže."
"CA4828S134-N","Mužská přepážková taška z kůže typu messenger pro iPad® - N","Mužská přepážková taška z kůže typu messenger pro iPad®"
"CA5086B2-MO","Crossbody kabelka s dvěma oddíly - MO","Crossbody kabelka s dvěma oddíly"
"CA5086B2-N","Crossbody kabelka s dvěma oddíly - N","Crossbody kabelka s dvěma oddíly"
"CA5086MOS-N","Crossbody kabelka ","Neshořitelný mužský akcesoár – Přenášejte svůj iPad® v luxusním stylu s náramkovou taškou z kvalitní kůže. Tato ikonická taška nabízí nejen eleganci, ale také praktičnost. Perfektně se hodí k každodennímu nošení, zábavě i pracovnímu dne."
"CA5107MOS-N","Zaino monospalla uomo - N","Základní taška přes rameno pro muže z kvalitní kůže"
"CA5381B2V-MO","a stylový záložní kabelka s odděleným oddílem na notebook a praktickou kapesou pro lahvičku či de...","Praktická a stylová záložní kabelka s odděleným prostorem na notebook a praktickou kapsou na lahvičku nebo deštník. Ideální pro každodenní nošení, pracovní cesty nebo výlety."
"CA5381B2V-N","a stylový záložní kabelka s odděleným oddílem na notebook a praktickou kapesou pro lahvičku či de...","Praktická a stylová záložní kabelka s odděleným oddílem na notebook a praktickou kapsou na lahvičku nebo deštník. Ideální pro každodenní použití, pracovní cesty nebo výlety."
"CA5566W92-AR","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem - AR","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem"
"CA5566W92-G","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem - G","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem"
"CA5566W92-N","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem - N","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem"
"CA5566W92-VEVE","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem - VEVE","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem"
"CA5566W92-VI","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem - VI","Záložní kabel USB-C na iPad® s rychlým nabíjením a datovou transferem"
"CA5566W92T-R","**Elegante ženský batoh na iPad®** - R","**Elegante ženský batoh na iPad®**"
"CA5575B2V-BLU","Batoh na notebook a iPad®","Praktický a stylový batoh určený pro notebook a iPad®. Nabízí bezpečné přihrádky pro vaše elektronické zařízení a kompaktní design, který je ideální pro každodenní použití. Díky modernímu vzhledu a pohodlným ramenním popruhům je perfektní volbou pro práci, studium i cestování."
"CA5575B2V-MO","Batoh na notebook a iPad®","Praktický a stylový batoh určený pro notebook a iPad®. Nabízí bezpečné přihrádky pro vaše elektronické zařízení a kompaktní design, který je ideální pro každodenní použití. Díky modernímu vzhledu a pohodlným ramenním popruhům je perfektní volbou pro práci, studium i cestování."
"CA5575B2V-N","Batoh na notebook a iPad®","Praktický a stylový batoh určený pro notebook a iPad®. Nabízí bezpečné přihrádky pro vaše elektronické zařízení a kompaktní design, který je ideální pro každodenní použití. Díky modernímu vzhledu a pohodlným ramenním popruhům je perfektní volbou pro práci, studium i cestování."
"CA5608UB00-NGR","Malý mužský batoh s ochranou pro notebook a iPad® - NGR","Malý mužský batoh s ochranou pro notebook a iPad®"
"CA5999S125-N","Záložní kapesník pro notebook a iPad® Pro 12,9"" – váš spolehlivý společník na každou cestu!","Záložní kapesník pro notebook a iPad® Pro 12,9"" – váš spolehlivý společník na každou cestu!"
"CA5999S125-VEAR","Záložní kapesník pro notebook a iPad® Pro 12,9"" – váš spolehlivý společník na každou cestu!","Záložní kapesník pro notebook a iPad® Pro 12,9"" – váš spolehlivý společník na každou cestu!"
"CA6005FLD-N","Zbalený přenášecí batoh na notebook z recyklovaného materiálu - N","Zbalený přenášecí batoh na notebook z recyklovaného materiálu"
"CA6024S134-N","Praktická pracovní taška pro notebook a iPad® Pro 12,9""","**Praktická pracovní taška pro notebook a iPad® Pro 12,9""**"
"CA6025S134-BLU","Brašna na notebook 15,6""","""Praktická a stylová aktovka na notebook i tablet Apple iPad® Pro 12,9"" – perfektní pomocník pro všechny, kteří potřebují mít své zařízení vždy po ruce. Vyrobená z kvalitních materiálů, kombinuje odolnost s elegantním designem. Ideální pro kancelář, školu nebo cestování."
"CA6025S134-M","Brašna na notebook 15,6""","""Praktická a stylová aktovka na notebook i tablet Apple iPad® Pro 12,9"" – perfektní pomocník pro všechny, kteří potřebují mít své zařízení vždy po ruce. Vyrobená z kvalitních materiálů, kombinuje odolnost s elegantním designem. Ideální pro kancelář, školu nebo cestování."
